X	E0	E1	E2	E3	E4	E5	E6
3.84	0.000545523835148385	-0.00157110864522735	0.00128045354586029	0.00844258797142596	0.021985456314813	0.0443652095097926	0.0782858673450843
3.88	0.000518730101063695	-0.00150950459409535	0.00125288881309914	0.00821751658456599	0.0213746214691885	0.0430249540611729	0.0755673083053089
3.92	0.000493304786516574	-0.00145031607235873	0.00122551708114313	0.00799755043361136	0.0207785690511096	0.0417194865170788	0.0729261278811531
3.96	0.00046917453392429	-0.00139344836575514	0.00119836559454942	0.00778261813999734	0.0201970427972896	0.0404481482203788	0.0703607414197709
4	0.000446270157940535	-0.00133881047382161	0.00117145916459391	0.00757264674255346	0.019629785599568	0.0392102810088399	0.0678695686008134
4.04	0.000424526390849609	-0.00128631496427432	0.00114482031820414	0.00736756190512579	0.0190765398806639	0.0380052280013506	0.0654510351828209
4.08	0.000403881644803386	-0.00123587783309836	0.00111846943895402	0.00716728811137899	0.0185370479456434	0.0368323343325277	0.0631035746331553
4.12	0.000384277789683936	-0.00118741837012336	0.0010924249005135	0.00697174884742381	0.01801105231025	0.0356909478380025	0.0608256296464064
4.16	0.000365659945471151	-0.00114085902986999	0.00106670319292844	0.00678086677288678	0.0174982960072083	0.034580419692603	0.0586156535560758
4.2	0.000347976288082747	-0.00109612530746065	0.00104131904208762	0.00659456388101016	0.0169985228715626	0.0335001050035782	0.0564721116442016
4.24	0.000331177867734524	-0.00105314561939579	0.00101628552271694	0.00641276164834387	0.0165114778060712	0.0324493633609361	0.0543934823534568
4.28	0.000315218438942369	-0.00101185118900501	0.000991614165224906	0.006235381174565	0.0160369070276377	0.0314275593468979	0.0523782584061185
